TMK,Service_Area,Service_Address,Service_City,Service_Zip,Usage_Type,LINKQ
419009001,Eleele WWTP service 96705 & Hanapepe 96716,4431 PUOLO RD,HANAPEPE,96716,Commercial,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190090010000
419010037,Eleele WWTP service 96705 & Hanapepe 96716,3630 HANAPEPE RD,HANAPEPE,96716,Commercial,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190100370000
419011004,Eleele WWTP service 96705 & Hanapepe 96716,3591 HANAPEPE RD,HANAPEPE,96716,Commercial,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190110040000
419011005,Eleele WWTP service 96705 & Hanapepe 96716,3599 HANAPEPE RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190110050000
419011011,Eleele WWTP service 96705 & Hanapepe 96716,4556 AWAWA RD,HANAPEPE,96716,Commercial,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=190110110000
421001027,Eleele WWTP service 96705 & Hanapepe 96716,0,ELEELE,96705,Inactive,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210010270000
421001027,Eleele WWTP service 96705 & Hanapepe 96716,0,ELEELE,96705,Inactive,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210010270000
416008048,Waimea WWTP service Waimea 96796,9529 WAENA RD,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160080480000
421003029,Eleele WWTP service 96705 & Hanapepe 96716,0000 AKA'ULA ST,"ELEELE, HI 96705",,Inactive,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210030290000
421004016,Eleele WWTP service 96705 & Hanapepe 96716,4741 ELEELE RD,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210040160000
421004023,Eleele WWTP service 96705 & Hanapepe 96716,4694 ELEELE RD,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210040230000
421004035,Eleele WWTP service 96705 & Hanapepe 96716,243 KEOKEO RD,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210040350000
421004050,Eleele WWTP service 96705 & Hanapepe 96716,4741 ELEELE RD A,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210040500000
421005002,Eleele WWTP service 96705 & Hanapepe 96716,4723 ULIULI RD,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210050020000
421005051,Lihue WWTP service Hanamaulu 96715 & Lihue 96766,4687 MELEMELE RD,LIHUE,96766,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210050510000
421006050,Eleele WWTP service 96705 & Hanapepe 96716,4695 HOKULOA PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210060500000
421006057,Eleele WWTP service 96705 & Hanapepe 96716,4727 HOKULOA PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210060570000
421006063,Eleele WWTP service 96705 & Hanapepe 96716,4738 HOKULOA PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210060630000
421006065,Eleele WWTP service 96705 & Hanapepe 96716,4730 HOKULOA PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210060650000
421007003,Eleele WWTP service 96705 & Hanapepe 96716,4604 PUALEI ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210070030000
421007056,Eleele WWTP service 96705 & Hanapepe 96716,4600 ULUPUA ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210070560000
421007056,Eleele WWTP service 96705 & Hanapepe 96716,4600 ULUPUA ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210070560000
421007062,Eleele WWTP service 96705 & Hanapepe 96716,4566 ULUPUA ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210070620000
421007068,Eleele WWTP service 96705 & Hanapepe 96716,4585 ULUPUA ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210070680000
421007084,Eleele WWTP service 96705 & Hanapepe 96716,537 LEIPAPA PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210070840000
421007104,Eleele WWTP service 96705 & Hanapepe 96716,510 LAULE'A ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210071040000
421007123,Eleele WWTP service 96705 & Hanapepe 96716,578 AEWA ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210071230000
421007134,Eleele WWTP service 96705 & Hanapepe 96716,559 LAULE'A ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210071340000
421007143,Eleele WWTP service 96705 & Hanapepe 96716,4717 NANEA PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210071430000
421007163,Eleele WWTP service 96705 & Hanapepe 96716,589 AEWA ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210071630000
421008051,Eleele WWTP service 96705 & Hanapepe 96716,4681 KULE'A PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210080510000
421008054,Eleele WWTP service 96705 & Hanapepe 96716,4695 KULE'A PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210080540000
421008085,Eleele WWTP service 96705 & Hanapepe 96716,676 AKALEI ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210080850000
421009005,Eleele WWTP service 96705 & Hanapepe 96716,725 KAUMO'O PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210090050000
421009023,Eleele WWTP service 96705 & Hanapepe 96716,735 LAULE'A ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210090230000
421009030,Eleele WWTP service 96705 & Hanapepe 96716,771 LAULE'A ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210090300000
421009032,Eleele WWTP service 96705 & Hanapepe 96716,779 LAULE'A ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210090320000
421009053,Eleele WWTP service 96705 & Hanapepe 96716,926 'OHI PL,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210090530000
421009058,Eleele WWTP service 96705 & Hanapepe 96716,684 LAULE'A ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210090580000
421009133,Eleele WWTP service 96705 & Hanapepe 96716,4624 LILIA ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210091330000
421009135,Eleele WWTP service 96705 & Hanapepe 96716,768 LAULE'A ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210091350000
421009144,Eleele WWTP service 96705 & Hanapepe 96716,828 LAULE'A ST,ELEELE,96705,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=210091440000
