TMK,Service_Area,Service_Address,Service_City,Service_Zip,Usage_Type
421012025,Eleele WWTP service 96705 & Hanapepe 96716,459 ILUNA ST A,ELEELE,96705,Residential
421012045,Eleele WWTP service 96705 & Hanapepe 96716,525 ILUNA ST B,ELEELE,96705,Residential
421012048,Eleele WWTP service 96705 & Hanapepe 96716,533 ILUNA ST,ELEELE,96705,Residential
421012096,Eleele WWTP service 96705 & Hanapepe 96716,348 ILUNA ST A,ELEELE,96705,Residential
421012104,Eleele WWTP service 96705 & Hanapepe 96716,298 ILUNA ST A,ELEELE,96705,Residential
418015086,Eleele WWTP service 96705 & Hanapepe 96716,5167 ALII RD,HANAPEPE,96716,Residential
418015102,Eleele WWTP service 96705 & Hanapepe 96716,5086 KAHUA PL,HANAPEPE,96716,Residential
418015109,Eleele WWTP service 96705 & Hanapepe 96716,5036 ALII RD,HANAPEPE,96716,Residential
418015116,Eleele WWTP service 96705 & Hanapepe 96716,3627 'UWAO ST,HANAPEPE,96716,Residential
418016051,Eleele WWTP service 96705 & Hanapepe 96716,5096 KAUNALOA ST,HANAPEPE,96716,Residential
418016058,Eleele WWTP service 96705 & Hanapepe 96716,5116 ALII RD,HANAPEPE,96716,Residential
418017001,Eleele WWTP service 96705 & Hanapepe 96716,5185 MOI RD,HANAPEPE,96716,Residential
418018011,Eleele WWTP service 96705 & Hanapepe 96716,5027 MOI RD,HANAPEPE,96716,Residential
418018017,Eleele WWTP service 96705 & Hanapepe 96716,5001 MOI RD,HANAPEPE,96716,Residential
418018020,Eleele WWTP service 96705 & Hanapepe 96716,4989 MOI RD,HANAPEPE,96716,Residential
418019001,Eleele WWTP service 96705 & Hanapepe 96716,4358 LELE RD,HANAPEPE,96716,Residential
418019003,Eleele WWTP service 96705 & Hanapepe 96716,3361 KAI LANI PL,HANAPEPE,96716,Residential
419004020,Eleele WWTP service 96705 & Hanapepe 96716,3837 HANAPEPE RD,HANAPEPE,96716,Commercial
419007031,Eleele WWTP service 96705 & Hanapepe 96716,0,HANAPEPE,96716,Inactive
419010020,Eleele WWTP service 96705 & Hanapepe 96716,4481 PUOLO RD,HANAPEPE,96716,Residential
419010021,Eleele WWTP service 96705 & Hanapepe 96716,4507 PUOLO RD,HANAPEPE,96716,Commercial
419011006,Eleele WWTP service 96705 & Hanapepe 96716,3611 HANAPEPE RD,HANAPEPE,96716,Commercial
419011006,Eleele WWTP service 96705 & Hanapepe 96716,3611 HANAPEPE RD,HANAPEPE,96716,Commercial
421001022,Eleele WWTP service 96705 & Hanapepe 96716,439 MEHANA RD,ELEELE,96705,Residential
421003009,Eleele WWTP service 96705 & Hanapepe 96716,4392 WAIALO RD,ELEELE,96705,Commercial
421004025,Eleele WWTP service 96705 & Hanapepe 96716,4674 ELEELE RD,ELEELE,96705,Residential
421004025,Eleele WWTP service 96705 & Hanapepe 96716,4674 ELEELE RD A,ELEELE,96705,Residential
421004043,Eleele WWTP service 96705 & Hanapepe 96716,4582 ELEELE RD,ELEELE,96705,Inactive
421005003,Eleele WWTP service 96705 & Hanapepe 96716,4729 ULIULI RD,ELEELE,96705,Residential
421005009,Eleele WWTP service 96705 & Hanapepe 96716,4718 MELEMELE RD,ELEELE,96705,Residential
421005015,Eleele WWTP service 96705 & Hanapepe 96716,143 AKALA RD,ELEELE,96705,Residential
421006009,Eleele WWTP service 96705 & Hanapepe 96716,356 HOE ST,ELEELE,96705,Residential
421006020,Eleele WWTP service 96705 & Hanapepe 96716,235 ULAULA RD,ELEELE,96705,Residential
421006034,Eleele WWTP service 96705 & Hanapepe 96716,4538 MIMO PL,ELEELE,96705,Residential
421006055,Eleele WWTP service 96705 & Hanapepe 96716,4721 HOKULOA PL,ELEELE,96705,Residential
421006064,Eleele WWTP service 96705 & Hanapepe 96716,4736 HOKULOA PL,ELEELE,96705,Residential
421006069,Eleele WWTP service 96705 & Hanapepe 96716,517 AEWA ST,ELEELE,96705,Residential
421007010,Eleele WWTP service 96705 & Hanapepe 96716,4538 PUALEI ST,ELEELE,96705,Residential
421007043,Eleele WWTP service 96705 & Hanapepe 96716,4627 PUALEI ST,ELEELE,96705,Residential
421007048,Eleele WWTP service 96705 & Hanapepe 96716,644 LAULE'A ST,ELEELE,96705,Residential
421007080,Eleele WWTP service 96705 & Hanapepe 96716,532 LEIPAPA PL,ELEELE,96705,Residential
421007082,Eleele WWTP service 96705 & Hanapepe 96716,533 LEIPAPA PL,ELEELE,96705,Residential
421007105,Eleele WWTP service 96705 & Hanapepe 96716,504 LAULE'A ST,ELEELE,96705,Residential
421007115,Eleele WWTP service 96705 & Hanapepe 96716,530 AEWA ST,ELEELE,96705,Residential
421007131,Eleele WWTP service 96705 & Hanapepe 96716,577 LAULE'A ST,ELEELE,96705,Residential
421007133,Eleele WWTP service 96705 & Hanapepe 96716,565 LAULE'A ST,ELEELE,96705,Residential
421007137,Eleele WWTP service 96705 & Hanapepe 96716,539 LAULE'A ST,ELEELE,96705,Residential
421007151,Eleele WWTP service 96705 & Hanapepe 96716,4720 NANEA PL,ELEELE,96705,Residential
421007165,Eleele WWTP service 96705 & Hanapepe 96716,599 AEWA ST,ELEELE,96705,Residential
421008001,Eleele WWTP service 96705 & Hanapepe 96716,605 AEWA ST,ELEELE,96705,Residential
421008016,Eleele WWTP service 96705 & Hanapepe 96716,671 AEWA ST,ELEELE,96705,Residential
421008020,Eleele WWTP service 96705 & Hanapepe 96716,688 AEWA ST,ELEELE,96705,Residential
421008071,Eleele WWTP service 96705 & Hanapepe 96716,683 LAULE'A ST,ELEELE,96705,Residential
421008077,Eleele WWTP service 96705 & Hanapepe 96716,4638 PUALEI ST,ELEELE,96705,Residential
421009007,Eleele WWTP service 96705 & Hanapepe 96716,735 KAUMO'O PL,ELEELE,96705,Residential
421009011,Eleele WWTP service 96705 & Hanapepe 96716,734 KAUMO'O PL,ELEELE,96705,Residential
421009014,Eleele WWTP service 96705 & Hanapepe 96716,718 KAUMO'O PL,ELEELE,96705,Residential
